Date,Open,High,Low,Close,Adj Close,Volume
2001-06-25,123.279999,123.440002,121.500000,121.720001,83.192276,8406800
2001-06-26,120.900002,122.389999,120.570000,121.550003,83.076096,8005800
2001-06-27,121.599998,122.239998,120.910004,121.480003,83.028282,10105100
2001-06-28,122.000000,123.940002,121.930000,122.150002,83.486191,10269300
2001-06-29,122.800003,124.010002,122.260002,122.599998,83.793732,9824200
2001-07-02,122.800003,124.320000,122.620003,124.129997,84.839485,8522200
2001-07-03,123.980003,124.099998,123.050003,124.099998,84.818962,3303100
2001-07-05,123.070000,123.650002,121.660004,121.680000,83.164963,5517900
2001-07-06,121.309998,121.489998,119.050003,119.050003,81.367416,11665900
2001-07-09,119.489998,120.540001,119.199997,119.699997,81.811691,8339300
2001-07-10,120.290001,120.639999,118.209999,118.260002,80.827499,8630700
2001-07-11,118.099998,118.889999,117.089996,118.379997,80.909508,15328600
2001-07-12,119.500000,121.470001,119.309998,121.190002,82.830063,12002800
2001-07-13,120.839996,122.320000,120.620003,122.239998,83.547668,10433800
2001-07-16,121.769997,122.279999,120.290001,120.709999,82.502007,6915300
2001-07-17,120.199997,121.949997,119.830002,121.839996,83.274338,7469800
2001-07-18,120.559998,121.639999,120.059998,121.010002,82.707031,7709300
2001-07-19,122.180000,122.980003,120.760002,122.070000,83.431526,10082900
2001-07-20,121.150002,121.940002,120.919998,121.339996,82.932602,6705800
2001-07-23,121.800003,121.879997,118.949997,118.949997,81.299072,8065200
2001-07-24,119.000000,119.199997,116.750000,117.800003,80.513069,12269000
2001-07-25,117.919998,119.480003,117.459999,119.099998,81.401604,12088500
2001-07-26,119.059998,120.849998,118.559998,120.349998,82.255951,12898200
2001-07-27,120.830002,121.349998,119.910004,120.809998,82.570335,8478800
2001-07-30,121.190002,121.349998,120.300003,120.849998,82.597694,8547700
2001-07-31,121.000000,122.680000,120.800003,121.349998,82.939392,11918100
2001-08-01,121.970001,122.699997,121.550003,122.110001,83.458862,11940800
2001-08-02,123.230003,123.250000,121.889999,122.610001,83.800583,11070100
2001-08-03,122.360001,122.360001,120.900002,121.940002,83.342659,10816300
2001-08-06,121.349998,121.510002,120.099998,120.300003,82.221794,8550100
